,station_id,docks_available
0,39,14279
1,41,4748
2,42,5298
3,45,7779
4,46,8666
5,47,1811
6,48,16824
7,49,1876
8,50,18036
9,51,4802
10,54,39401
11,55,8301
12,56,3098
13,57,10360
14,58,236
15,59,922
16,60,25476
17,61,8875
18,62,791
19,63,10361
20,64,12802
21,65,18534
22,66,5843
23,67,312
24,68,5257
25,69,23605
26,70,43079
27,71,5296
28,72,17017
29,73,33112
30,74,13317
31,75,3034
32,76,6400
33,77,3711
34,82,4701
35,90,5
36,91,2
