,station_id,type,model,score
105,16.0,test,LogisticRegression,0.9966632824513594
106,16.0,train,DecisionTreeClassifier,0.999874871088597
107,16.0,test,DecisionTreeClassifier,0.9960814349072903
108,16.0,train,KNeighborsClassifier,0.9995518258598115
109,16.0,test,KNeighborsClassifier,0.9937688877806079
110,16.0,train,RandomForestClassifier,0.9998568786961076
111,16.0,test,RandomForestClassifier,0.9964168878281056
112,80.0,train,LogisticRegression,0.9982228279750929
113,80.0,test,LogisticRegression,1.0
114,80.0,train,DecisionTreeClassifier,1.0
115,80.0,test,DecisionTreeClassifier,0.9988006815928373
116,80.0,train,KNeighborsClassifier,0.9999971366723551
117,80.0,test,KNeighborsClassifier,1.0
118,80.0,train,RandomForestClassifier,1.0
119,80.0,test,RandomForestClassifier,1.0
120,84.0,train,LogisticRegression,0.9809541132699463
121,84.0,test,LogisticRegression,0.93840431279649
122,84.0,train,DecisionTreeClassifier,1.0
123,84.0,test,DecisionTreeClassifier,0.9184315052633454
124,84.0,train,KNeighborsClassifier,0.9988722612649855
125,84.0,test,KNeighborsClassifier,0.9174310837207369
126,84.0,train,RandomForestClassifier,0.9999845666253273
127,84.0,test,RandomForestClassifier,0.9304157835052158
