,station_id,type,model,score
102,56.0,train,RandomForestClassifier,0.9994095223919414
103,56.0,test,RandomForestClassifier,0.8934803388965084
104,57.0,train,LogisticRegression,0.9442244011191269
105,57.0,test,LogisticRegression,0.8772925090097311
106,57.0,train,DecisionTreeClassifier,0.9993179247574503
107,57.0,test,DecisionTreeClassifier,0.829569135956397
108,57.0,train,KNeighborsClassifier,0.9963802577655575
109,57.0,test,KNeighborsClassifier,0.8470423739379798
110,57.0,train,RandomForestClassifier,0.9991944315180917
111,57.0,test,RandomForestClassifier,0.8674693787886885
112,58.0,train,LogisticRegression,0.9674046523821032
113,58.0,test,LogisticRegression,0.9774652821070006
114,58.0,train,DecisionTreeClassifier,0.999953304141595
115,58.0,test,DecisionTreeClassifier,0.9465145550944315
116,58.0,train,KNeighborsClassifier,0.9986548315877002
117,58.0,test,KNeighborsClassifier,0.956126914011245
118,58.0,train,RandomForestClassifier,0.9999107044111202
119,58.0,test,RandomForestClassifier,0.97364171253169
120,59.0,train,LogisticRegression,0.9336882196445848
121,59.0,test,LogisticRegression,0.905568518485534
122,59.0,train,DecisionTreeClassifier,0.9996655050669031
123,59.0,test,DecisionTreeClassifier,0.8213728039708126
124,59.0,train,KNeighborsClassifier,0.9970124450107505
125,59.0,test,KNeighborsClassifier,0.859822239638067
126,59.0,train,RandomForestClassifier,0.9995927176609235
127,59.0,test,RandomForestClassifier,0.8864951997577615
128,60.0,train,LogisticRegression,0.9087581241785859
129,60.0,test,LogisticRegression,0.9013323121315213
130,60.0,train,DecisionTreeClassifier,0.9997505600132163
131,60.0,test,DecisionTreeClassifier,0.8298897458276188
132,60.0,train,KNeighborsClassifier,0.9935726267012012
133,60.0,test,KNeighborsClassifier,0.8284084094781777
134,60.0,train,RandomForestClassifier,0.999499484354388
135,60.0,test,RandomForestClassifier,0.8797416121926747
136,61.0,train,LogisticRegression,0.951146565211382
137,61.0,test,LogisticRegression,0.9370120347446105
138,61.0,train,DecisionTreeClassifier,0.9998503360079297
139,61.0,test,DecisionTreeClassifier,0.8829239620255419
140,61.0,train,KNeighborsClassifier,0.9970795075645743
